"GEO","ETHN","TEAM","EXP","GEND","number","OUT","raw consist.","PRI consist.","SYM consist"
0,0,1,1,1,70,1,0.828239,0.710389,0.732758
0,1,0,1,1,20,0,0.824748,0.609015,0.617447
0,1,1,1,1,112,0,0.795003,0.666303,0.683386
1,0,1,1,1,98,0,0.783489,0.649375,0.680538
0,0,1,0,1,57,0,0.774101,0.640605,0.647513
0,0,0,1,1,29,0,0.761771,0.516693,0.540007
1,1,1,1,1,134,0,0.754384,0.614392,0.6319
1,0,0,1,1,68,0,0.752946,0.550931,0.582011
0,1,1,0,1,92,0,0.750088,0.606826,0.620413
0,1,0,0,1,36,0,0.745354,0.503133,0.509493
1,1,0,1,1,59,0,0.737797,0.51157,0.527618
0,1,1,1,0,77,0,0.733135,0.567829,0.579664
1,1,1,0,1,136,0,0.730797,0.595582,0.611795
1,1,0,0,1,68,0,0.717788,0.507453,0.528144
1,0,1,1,0,72,0,0.700533,0.491361,0.508698
1,0,1,0,1,137,0,0.698702,0.567518,0.589746
0,1,0,1,0,79,0,0.68776,0.486828,0.507964
0,0,0,0,1,63,0,0.678597,0.472687,0.491711
0,0,1,1,0,54,0,0.678324,0.43894,0.450168
1,0,0,0,1,114,0,0.667122,0.49967,0.529785
1,1,1,1,0,88,0,0.658659,0.431479,0.444359
0,1,1,0,0,52,0,0.649372,0.390556,0.398758
1,1,1,0,0,93,0,0.644075,0.446626,0.461651
1,1,0,1,0,100,0,0.638825,0.42229,0.44606
0,1,0,0,0,81,0,0.60849,0.37068,0.393674
1,0,0,1,0,293,0,0.565089,0.415688,0.446315
0,0,0,1,0,209,0,0.564373,0.394486,0.417188
1,0,1,0,0,128,0,0.563542,0.369616,0.389992
0,0,1,0,0,100,0,0.541255,0.329905,0.340506
1,1,0,0,0,126,0,0.530527,0.327749,0.337639
0,0,0,0,0,273,0,0.46145,0.309798,0.324338
1,0,0,0,0,436,0,0.40669,0.27482,0.289812
