"ORG","EXP","GEO","KNOW","GNRL","number","OUT","raw consist.","PRI consist.","SYM consist"
1,1,0,1,0,110,0,0.777295,0.645108,0.655888
0,1,0,1,0,52,0,0.765992,0.615728,0.616904
1,1,1,1,0,166,0,0.764978,0.635625,0.653226
0,1,0,0,1,2,0,0.757638,0.469252,0.470478
1,0,1,1,0,29,0,0.75078,0.570181,0.570819
0,1,0,1,1,21,0,0.74243,0.51805,0.518553
0,1,1,1,0,112,0,0.741978,0.591219,0.59795
1,0,0,1,0,21,0,0.734526,0.531796,0.531796
1,1,0,0,1,72,0,0.7235,0.54006,0.548786
0,1,1,0,1,12,0,0.722206,0.441055,0.441323
0,1,0,0,0,36,0,0.722011,0.504437,0.508202
0,1,1,1,1,38,0,0.721092,0.49744,0.499339
1,1,0,0,0,165,0,0.70837,0.557561,0.580676
0,1,1,0,0,102,0,0.708264,0.524702,0.536858
0,0,0,1,0,87,0,0.698105,0.549308,0.555658
0,0,1,1,0,140,0,0.692844,0.548806,0.554987
1,1,1,0,0,233,0,0.687947,0.537097,0.553883
1,0,1,0,0,94,0,0.684258,0.501088,0.501409
1,0,0,1,1,61,0,0.679933,0.473528,0.476367
1,0,0,0,0,66,0,0.675336,0.449147,0.4509
1,1,0,1,1,192,0,0.674032,0.520849,0.533435
1,0,0,0,1,49,0,0.665154,0.405906,0.40752
1,0,1,1,1,94,0,0.653535,0.451349,0.452457
1,1,1,0,1,81,0,0.651402,0.409263,0.414573
1,1,1,1,1,168,0,0.650672,0.465136,0.479705
0,0,0,1,1,103,0,0.638098,0.451524,0.460807
1,0,1,0,1,67,0,0.629884,0.395216,0.398493
0,0,1,1,1,186,0,0.620815,0.444203,0.457836
0,0,0,0,1,67,0,0.611742,0.380896,0.385873
0,0,1,0,1,111,0,0.575082,0.359154,0.366159
0,0,0,0,0,300,0,0.541687,0.397439,0.416427
0,0,1,0,0,517,0,0.507189,0.380941,0.401266
