"GEND","ORG","EXP","GEO","KNOW","GNRL","number","OUT","raw consist.","PRI consist.","SYM consist"
1,1,1,0,1,0,61,1,0.834394,0.709149,0.720665
1,0,1,0,1,0,37,1,0.819621,0.685692,0.685693
1,1,1,0,1,1,70,1,0.812295,0.672145,0.68786
1,1,1,1,1,0,84,1,0.810022,0.68531,0.703161
1,0,1,0,1,1,11,0,0.826437,0.622237,0.623181
1,1,1,0,0,0,27,0,0.824147,0.648908,0.674648
1,1,1,0,0,1,8,0,0.82196,0.576674,0.577931
1,1,0,0,1,1,16,0,0.819181,0.62928,0.631951
1,0,1,1,0,0,30,0,0.810406,0.639255,0.644748
1,1,0,1,1,0,17,0,0.807696,0.64741,0.64741
1,1,0,1,0,0,20,0,0.804514,0.619119,0.619119
1,0,1,0,0,0,17,0,0.80406,0.584525,0.591399
1,0,1,1,0,1,4,0,0.801748,0.527274,0.527271
1,1,0,0,1,0,11,0,0.79692,0.608297,0.608297
1,0,1,1,1,1,16,0,0.796417,0.589087,0.589814
1,1,0,0,0,0,13,0,0.791458,0.551039,0.551037
1,0,1,1,1,0,65,0,0.789247,0.651669,0.654858
1,1,1,1,0,1,12,0,0.783652,0.505748,0.506317
1,0,0,0,1,0,46,0,0.777788,0.640316,0.647033
1,1,0,1,1,1,37,0,0.77575,0.585898,0.586481
1,1,0,0,0,1,9,0,0.772056,0.464093,0.464094
1,1,0,1,0,1,10,0,0.766795,0.493781,0.493777
1,0,0,1,1,0,71,0,0.764779,0.635101,0.640699
1,1,1,1,1,1,73,0,0.760763,0.570589,0.582801
1,1,1,1,0,0,75,0,0.756656,0.567086,0.584783
1,0,0,0,1,1,45,0,0.744289,0.555799,0.562365
0,0,1,0,0,1,2,0,0.742609,0.419624,0.421061
0,1,1,0,1,0,49,0,0.739243,0.536727,0.543562
1,0,0,0,0,0,89,0,0.734451,0.589261,0.610757
0,1,1,1,1,0,82,0,0.730626,0.538269,0.550667
0,0,1,0,1,0,15,0,0.722313,0.457396,0.459233
1,0,0,1,0,1,36,0,0.714836,0.478464,0.492647
1,0,0,1,1,1,96,0,0.714575,0.546656,0.560278
1,0,0,0,0,1,19,0,0.713896,0.411219,0.413298
0,1,0,0,1,0,10,0,0.708719,0.406688,0.406686
0,1,0,1,1,0,12,0,0.704492,0.421579,0.422459
0,0,1,1,1,0,47,0,0.704472,0.467389,0.474713
0,0,1,0,1,1,10,0,0.703702,0.402681,0.402737
0,1,1,0,0,1,64,0,0.702871,0.506133,0.515561
0,0,1,1,0,1,8,0,0.683019,0.343947,0.344235
0,0,1,0,0,0,19,0,0.679567,0.406127,0.406995
0,0,1,1,1,1,22,0,0.678772,0.389269,0.391206
0,1,1,0,0,0,138,0,0.669358,0.497976,0.515836
1,0,0,1,0,0,168,0,0.667695,0.528628,0.556051
0,1,1,1,0,0,158,0,0.667361,0.498543,0.511542
0,1,0,0,0,1,40,0,0.653921,0.375067,0.376986
0,0,0,0,1,0,41,0,0.65078,0.41508,0.419157
0,0,1,1,0,0,72,0,0.64917,0.412495,0.424247
0,0,0,1,1,0,69,0,0.642753,0.424985,0.429925
0,1,0,0,0,0,53,0,0.639109,0.373798,0.375763
0,1,0,0,1,1,45,0,0.628151,0.368183,0.370329
0,1,0,1,0,0,74,0,0.625461,0.40372,0.404077
0,1,1,0,1,1,122,0,0.618169,0.413099,0.421538
0,1,1,1,0,1,69,0,0.616461,0.356326,0.361957
0,0,0,0,0,1,48,0,0.609062,0.366157,0.371583
0,1,1,1,1,1,95,0,0.606904,0.381885,0.393565
0,0,0,0,1,1,58,0,0.60681,0.366139,0.374339
0,1,0,1,0,1,57,0,0.590753,0.339083,0.34269
0,1,0,1,1,1,57,0,0.589274,0.332269,0.333297
0,0,0,1,1,1,90,0,0.576533,0.342827,0.352632
0,0,0,1,0,1,75,0,0.534584,0.292623,0.29598
0,0,0,0,0,0,211,0,0.468312,0.295144,0.309012
0,0,0,1,0,0,349,0,0.448195,0.303402,0.317685
