"KNOW","GEO","ORG","EXPSH","ETHN","number","OUT","raw consist.","PRI consist.","SYM consist"
1,0,0,1,0,6,0,0.81083,0.622221,0.622222
1,1,1,1,1,2,0,0.769231,0.5045,0.5045
1,1,1,0,1,9,0,0.76384,0.608276,0.608276
0,1,1,0,0,33,0,0.748769,0.642194,0.654789
0,1,0,1,1,13,0,0.738914,0.548021,0.556067
1,0,1,1,1,2,0,0.737658,0.340101,0.347998
1,0,1,0,1,10,0,0.736256,0.51103,0.5574
0,0,0,1,0,9,0,0.717448,0.539602,0.539601
0,1,1,1,0,27,0,0.714017,0.608199,0.619326
1,1,0,0,1,8,0,0.712094,0.526451,0.539179
0,1,1,0,1,3,0,0.710812,0.425227,0.425227
0,0,1,1,1,3,0,0.705443,0.415178,0.415178
1,1,1,0,0,24,0,0.702675,0.564363,0.564489
0,0,1,1,0,15,0,0.697638,0.542036,0.551257
1,1,0,0,0,22,0,0.696131,0.499583,0.539701
0,1,1,1,1,4,0,0.695046,0.378075,0.378074
1,0,0,0,0,20,0,0.685812,0.513886,0.539595
1,1,1,1,0,13,0,0.67702,0.501007,0.503532
1,0,0,1,1,6,0,0.674668,0.28884,0.290518
0,0,1,0,0,11,0,0.668557,0.45735,0.45735
0,0,0,1,1,7,0,0.667026,0.387125,0.402136
0,1,0,0,1,16,0,0.651243,0.466316,0.488943
0,0,0,0,1,8,0,0.635627,0.385021,0.404642
1,0,1,0,0,31,0,0.627744,0.468232,0.477709
0,1,0,0,0,69,0,0.625266,0.522267,0.545379
1,1,0,1,1,11,0,0.609452,0.307524,0.320971
0,0,0,0,0,46,0,0.591254,0.474149,0.505781
1,0,0,0,1,8,0,0.567703,0.268062,0.273293
0,1,0,1,0,45,0,0.550082,0.368127,0.384171
1,0,1,1,0,19,0,0.525655,0.247496,0.247496
