"EXPSH","ORG","GEO","KNOW","EXP","GNRL","number","OUT","raw consist.","PRI consist.","SYM consist"
0,1,1,1,0,0,4,1,0.847947,0.682885,0.682885
0,1,1,1,1,0,4,1,0.844759,0.673761,0.673761
0,0,0,1,1,1,2,0,0.799057,0.575225,0.575226
0,1,1,0,0,0,3,0,0.795948,0.562101,0.571894
0,0,1,1,1,1,5,0,0.793567,0.588353,0.588354
0,1,1,0,1,0,4,0,0.789238,0.551131,0.561774
1,0,1,0,1,0,5,0,0.789122,0.583973,0.583972
1,0,1,0,1,1,2,0,0.788011,0.563759,0.563948
1,0,0,1,0,1,3,0,0.783607,0.525773,0.525773
1,1,1,0,1,1,12,0,0.782534,0.655932,0.662324
1,1,1,0,0,1,3,0,0.764181,0.51642,0.51642
0,1,0,1,0,0,2,0,0.759651,0.459975,0.459975
1,0,0,1,1,1,8,0,0.758312,0.532946,0.554449
0,1,1,0,1,1,19,0,0.756125,0.639921,0.640126
1,1,1,0,0,0,3,0,0.752122,0.466634,0.466635
1,1,0,0,1,0,5,0,0.746432,0.579898,0.579899
1,1,0,0,0,0,2,0,0.745779,0.514239,0.51424
0,0,1,1,0,0,6,0,0.734267,0.481522,0.497888
0,1,0,0,1,1,5,0,0.733996,0.520973,0.520974
0,1,1,1,0,1,10,0,0.733252,0.568171,0.568171
1,0,1,1,0,0,2,0,0.729874,0.350599,0.350599
1,0,1,1,1,1,8,0,0.718735,0.435836,0.435836
0,1,1,0,0,1,10,0,0.707576,0.530562,0.530562
1,1,1,1,1,0,2,0,0.699555,0.410194,0.410194
0,0,0,1,0,0,7,0,0.690751,0.450271,0.451714
0,1,0,1,1,1,22,0,0.683076,0.509087,0.525611
0,0,1,1,0,1,18,0,0.682974,0.496954,0.523393
0,1,0,0,0,1,5,0,0.6817,0.439008,0.439008
1,1,0,0,1,1,11,0,0.675117,0.477451,0.485333
0,1,1,1,1,1,15,0,0.674763,0.517231,0.517281
1,1,0,1,1,0,2,0,0.672429,0.379414,0.379415
1,1,1,1,1,1,12,0,0.671855,0.490102,0.490101
0,0,1,0,0,1,18,0,0.665899,0.497312,0.503566
1,1,1,0,1,0,13,0,0.657553,0.472854,0.472853
1,0,0,0,0,0,14,0,0.654821,0.46815,0.479096
0,1,0,1,0,1,17,0,0.63632,0.433437,0.433437
0,0,0,0,0,1,14,0,0.635639,0.46909,0.48013
1,0,1,0,0,1,20,0,0.629769,0.42583,0.429829
0,0,0,1,0,1,19,0,0.625818,0.433688,0.443404
0,0,1,0,0,0,66,0,0.619357,0.517192,0.542841
0,0,0,0,0,0,39,0,0.590859,0.457096,0.48442
1,0,1,0,0,0,31,0,0.568723,0.338582,0.352449
1,1,0,1,1,1,18,0,0.522267,0.234175,0.235886
