"GNRL","TEAM","GEO","EXP","ORG","number","OUT","raw consist.","PRI consist.","SYM consist"
0,0,0,1,0,2,0,0.784577,0.550763,0.563261
0,0,1,0,1,10,0,0.770416,0.577337,0.583564
1,0,1,1,0,8,0,0.769784,0.58111,0.583014
0,0,1,1,0,8,0,0.766984,0.557665,0.575507
1,1,0,1,0,10,0,0.760281,0.517083,0.536481
0,0,0,1,1,7,0,0.749497,0.583634,0.583634
1,0,1,1,1,48,0,0.724376,0.638356,0.646118
1,1,1,1,0,7,0,0.723175,0.475655,0.475656
0,0,0,0,1,4,0,0.718704,0.484176,0.484176
1,0,1,0,1,23,0,0.718601,0.571974,0.571974
1,1,0,0,1,6,0,0.710715,0.42417,0.42417
0,0,1,1,1,22,0,0.701726,0.544379,0.552365
0,1,1,0,0,12,0,0.676116,0.465603,0.48221
1,1,1,0,0,14,0,0.675421,0.455547,0.4929
1,0,0,0,1,17,0,0.665138,0.485548,0.485548
1,1,0,0,0,17,0,0.655926,0.429827,0.440663
1,1,1,1,1,10,0,0.655313,0.4654,0.4654
1,0,0,0,0,20,0,0.643572,0.481914,0.49449
0,0,0,0,0,51,0,0.625086,0.502408,0.530757
1,0,1,0,0,43,0,0.611907,0.467911,0.488393
1,0,0,1,1,34,0,0.611319,0.461768,0.476996
1,1,0,1,1,22,0,0.593852,0.362904,0.377684
0,0,1,0,0,93,0,0.573652,0.460347,0.485831
0,1,0,0,0,10,0,0.542585,0.249286,0.249286
